#,Hex,ASCII Glyph,Braille dots,Braille Glyph,Braille Meaning,Unicode,Matrix,Words,Decodings
1,20,(space),,⠀,(space),2800,"[[0, 0], [0, 0], [0, 0]]",,SPACE/empty
2,21,!,2-3-4-6,⠮,the,282e,"[[0, 1], [1, 0], [1, 1]]",THE,THE/5-there/4-5-these/4-5-6-their
3,22,"""",5,⠐,(contraction),2810,"[[0, 0], [0, 1], [0, 0]]",,5-
4,23,#,3-4-5-6,⠼,(number prefix),283c,"[[0, 1], [0, 1], [1, 1]]",,ble/#
5,24,$,1-2-4-6,⠫,ed,282b,"[[1, 1], [1, 0], [0, 1]]",,ed
6,25,%,1-4-6,⠩,sh,2829,"[[1, 1], [0, 0], [0, 1]]",SHALL,sh/SHALL
7,26,&,1-2-3-4-6,⠯,and,282f,"[[1, 1], [1, 0], [1, 1]]",AND,AND
8,27,,3,⠄,,2804,"[[0, 0], [0, 0], [1, 0]]",,3-
9,28,(,1-2-3-5-6,⠷,of,2837,"[[1, 0], [1, 1], [1, 1]]",OF,OF
10,29,),2-3-4-5-6,⠾,with,283e,"[[0, 1], [1, 1], [1, 1]]",WITH,WITH
11,2A,*,1-6,⠡,ch,2821,"[[1, 0], [0, 0], [0, 1]]",CHILD,ch/CHILD/5-character
12,2B,=+,3-4-6,⠬,ing,282c,"[[0, 1], [0, 0], [1, 1]]",ING,ing
13,2C,",",6,⠠,(uppercase prefix),2820,"[[0, 0], [0, 0], [0, 1]]",,6-
14,2D,-,3-6,⠤,-,2824,"[[0, 0], [0, 0], [1, 1]]",,com/-
15,2E,.,4-6,⠨,(italic prefix),2828,"[[0, 1], [0, 0], [0, 1]]",,4-6-
16,2F,/,3-4,⠌,st,280c,"[[0, 1], [0, 0], [1, 0]]",STILL,st/STILL
17,30,0,3-5-6,⠴,”,2834,"[[0, 0], [0, 1], [1, 1]]",WAS,was/BY/”
18,31,1,2,⠂,",",2802,"[[0, 0], [1, 0], [0, 0]]",,"ea/,"
19,32,2,2-3,⠆,;,2806,"[[0, 0], [1, 0], [1, 0]]",BE,be/bb/;
20,33,3,2-5,⠒,:,2812,"[[0, 0], [1, 1], [0, 0]]",,con/cc/:
21,34,4,2-5-6,⠲,.,2832,"[[0, 0], [1, 1], [0, 1]]",,dis/dd/.
22,35,5,2-6,⠢,en,2822,"[[0, 0], [1, 0], [0, 1]]",ENOUGH,en/ENOUGH
23,36,6,2-3-5,⠖,!,2816,"[[0, 0], [1, 1], [1, 0]]",TO,to/ff/!
24,37,7,2-3-5-6,⠶,( or ),2836,"[[0, 0], [1, 1], [1, 1]]",WERE,were/gg/()
25,38,8,2-3-6,⠦,“ or ?,2826,"[[0, 0], [1, 0], [1, 1]]",HIS,his/?/“
26,39,9,3-5,⠔,in,2814,"[[0, 0], [0, 1], [1, 0]]",IN,in
27,3A,:,1-5-6,⠱,wh,2831,"[[1, 0], [0, 1], [0, 1]]",WHICH,wh/WHICH/5-where/4-5-whose
28,3B,;,5-6,⠰,(letter prefix),2830,"[[0, 0], [0, 1], [0, 1]]",,5-6-
29,3C,<,1-2-6,⠣,gh,2823,"[[1, 0], [1, 0], [0, 1]]",,gh/RELEASE CAPS/<
30,3D,=,1-2-3-4-5-6,⠿,for,283f,"[[1, 1], [1, 1], [1, 1]]",FOR,FOR/full
31,3E,>,3-4-5,⠜,ar,281c,"[[0, 1], [0, 1], [1, 0]]",,ar
32,3F,?,1-4-5-6,⠹,th,2839,"[[1, 1], [0, 1], [0, 1]]",THIS,th/THIS/5-through/4-5-those
33,40,@,4,⠈,(accent prefix),2808,"[[0, 1], [0, 0], [0, 0]]",,´/@
34,41,A,1,⠁,a,2801,"[[1, 0], [0, 0], [0, 0]]",,a/1
35,42,B,1-2,⠃,b,2803,"[[1, 0], [1, 0], [0, 0]]",BUT,b/BUT/2
36,43,C,1-4,⠉,c,2809,"[[1, 1], [0, 0], [0, 0]]",CAN,c/CAN/4-5-6-cannot/3
37,44,D,1-4-5,⠙,d,2819,"[[1, 1], [0, 1], [0, 0]]",DO,d/DO/5-day/4-6-ound/4
